subject,other_fwhm,qsiprep_fwhm
3001,5.0549472327642,4.470034789550341
3002,4.952324316876665,4.710659115886687
3003,5.525100742220213,4.665232462946088
3004,5.338968332231327,
3005,5.446619112413515,4.0124104150833215
3007,5.066570120660263,4.428233293238198
3008,4.95206766639542,4.041749191906278
3009,4.738874377135571,3.969148481140774
3013,5.124889204058818,3.9592329870045266
3014,5.208742757139025,4.287417263504741
3015,5.30238465590971,4.175214809054405
3016,5.282565097937585,3.918313446113656
3017,5.538752424991127,4.206271753062768
3018,5.030387377464389,
3019,4.896460324270609,
3020,5.184252173727275,4.335709141236007
3021,4.801870312150358,
3022,5.334896445348674,3.9791486203438367
3023,4.904812747860901,4.549751501927547
3024,5.356056527390009,4.105872556059358
3025,5.266700899070155,4.502034512027874
3026,5.101987705991599,4.37351077891151
3028,4.884202234429822,4.491671367585771
3029,5.150890173613986,4.436398871960778
3030,5.157732478622915,4.676932699230502
3031,5.3277693497620575,4.0553827513321306
3032,4.777880494757654,4.41692385030582
3033,5.214738420241954,4.644051702146934
3034,5.0588489143977,4.109332371503213
3035,5.086625200873832,4.447464941847319
3036,5.097385672848038,4.29958475715535
3037,4.8461178410133945,3.9121377756259306
3038,4.754900917005244,4.311895284045612
3039,5.62479464197137,
3040,5.1637446433493706,4.491401320340945
3042,5.084530115385083,4.526222492523347
3043,4.5014956945009414,4.198004511722468
3044,4.953753064979806,4.198064251741328
3045,4.9578966300039955,4.059310996248116
3046,4.952210619801897,4.303609526865119
