"","study","subject","pipeline","index","fwhm","scheme"
"1","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",0,4.03181934921791,"DSI 258"
"2","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",1,4.06185183455247,"DSI 258"
"3","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",2,4.04691323791743,"DSI 258"
"4","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",3,4.04663068524365,"DSI 258"
"5","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",4,4.04811871386446,"DSI 258"
"6","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",5,4.05402240399394,"DSI 258"
"7","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",6,4.04116167189339,"DSI 258"
"8","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",7,4.04691843867886,"DSI 258"
"9","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",8,4.04980896504258,"DSI 258"
"10","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",9,4.07402631905531,"DSI 258"
"11","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",10,4.06723003256753,"DSI 258"
"12","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",11,4.06754591098212,"DSI 258"
"13","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",12,4.07606608314389,"DSI 258"
"14","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",13,4.09396373931504,"DSI 258"
"15","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",14,4.07831592134858,"DSI 258"
"16","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",15,4.0672055594372,"DSI 258"
"17","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",16,4.06317439850822,"DSI 258"
"18","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",17,4.0704650029987,"DSI 258"
"19","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",18,4.07926596501925,"DSI 258"
"20","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",19,4.08807357159252,"DSI 258"
"21","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",20,4.08379624498964,"DSI 258"
"22","DSI 258","aba94f7cdb894d0f514a16e183ca08b2f914398450f4796a159e3476d5febbe2","Raw",21,4.09726431711543,"DSI 258"
"23","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",0,4.01918574215787,"DSI 258"
"24","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",1,4.01229066599694,"DSI 258"
"25","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",2,4.01824809682286,"DSI 258"
"26","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",3,4.02515215391992,"DSI 258"
"27","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",4,4.02643267038086,"DSI 258"
"28","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",5,4.03182182734815,"DSI 258"
"29","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",6,4.04091098815875,"DSI 258"
"30","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",7,4.03420214962126,"DSI 258"
"31","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",8,4.03290429291221,"DSI 258"
"32","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",9,4.0470787406097,"DSI 258"
"33","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",10,4.04448056828479,"DSI 258"
"34","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",11,4.04665110543028,"DSI 258"
"35","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",12,4.04473813965441,"DSI 258"
"36","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",13,4.06626740898373,"DSI 258"
"37","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",14,4.05582076955199,"DSI 258"
"38","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",15,4.06254802185136,"DSI 258"
"39","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",16,4.05637990131607,"DSI 258"
"40","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",17,4.07539797705933,"DSI 258"
"41","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",18,4.07094523233729,"DSI 258"
"42","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",19,4.07165923222549,"DSI 258"
"43","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",20,4.07334344813017,"DSI 258"
"44","DSI 258","14f90da7c2f25c7f6cb49fd489d8e164512d25ed32d0e53072e3f6c45588dd09","Raw",21,4.06190838793081,"DSI 258"
"45","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",0,3.95483884793189,"DSI 258"
"46","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",1,3.95863706754465,"DSI 258"
"47","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",2,3.9710372832005,"DSI 258"
"48","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",3,3.95412160074252,"DSI 258"
"49","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",4,3.95513367585599,"DSI 258"
"50","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",5,3.95394051562611,"DSI 258"
"51","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",6,3.95921783408805,"DSI 258"
"52","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",7,3.97607617266208,"DSI 258"
"53","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",8,3.98155938378805,"DSI 258"
"54","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",9,3.96337865736917,"DSI 258"
"55","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",10,3.97687134798481,"DSI 258"
"56","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",11,3.95997211885095,"DSI 258"
"57","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",12,3.98093394099413,"DSI 258"
"58","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",13,3.97036748124069,"DSI 258"
"59","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",14,3.96600887510174,"DSI 258"
"60","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",15,3.96762314396532,"DSI 258"
"61","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",16,3.97532361369224,"DSI 258"
"62","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",17,3.98711081167206,"DSI 258"
"63","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",18,3.99642732333081,"DSI 258"
"64","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",19,3.98981489205482,"DSI 258"
"65","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",20,4.0071172689824,"DSI 258"
"66","DSI 258","9af6a0f0eb2ab2fee55801de9f21a4c30502beb9b7035148ce23990382e54c83","Raw",21,4.00510890824951,"DSI 258"
"67","DSI 258","d880e50113feddcf6089ba5bf5f7928971382cb1a8511f31643d13815389268b","Raw",0,4.09676604955325,"DSI 258"
