"","subject","qc","fwhm","scheme","pipeline"
"1","04980bcbb025f62fb623af2abc278cec88f3e999c3f9d950781d10812bef70c9",0.834055,3.91344696782,"MultiShell 113","QSIPrep"
"2","ce53191e91f68926646a408c605887770b4022ffac003a7f75e08be3e946b180",0.83045,3.91903922426,"MultiShell 113","QSIPrep"
"3","1762118de51b9084e6c2f1c837fcfd6cdd3fe6f71720d13eea3593bda9101cd8",0.854052,4.13090608721,"MultiShell 113","QSIPrep"
"4","904b40e50ae962c3d1e24c4f3a64a04c8016b76279deb1e143135c387e363766",0.855448,3.76186467925,"MultiShell 113","QSIPrep"
"5","c270284221eb08af5dd86d202e08074db728c71d21c35942b1abb601561b0782",0.865457,3.75168275015,"MultiShell 113","QSIPrep"
"6","ba0b4fe34db5e38ff4b9fb59211790c8b7f67e505697a1c5ab247cc9e3eaba28",0.812895,4.22895372277,"MultiShell 113","QSIPrep"
"7","88a2cb562317d144baaee93d5e079dbb5e8875f6fb0e184997b5321b95b1d8a1",0.856728,3.81465912763,"MultiShell 113","QSIPrep"
"8","9f344762ad81365f9fa765659f0685d9341d01844fb816ea9d369f90b0070358",0.835428,4.15746306775,"MultiShell 113","QSIPrep"
"9","8ca6100895189063ff576d8cd02b42835ab062431a57d7f6d4f9d51ee010829e",0.851858,3.72975166192,"MultiShell 113","QSIPrep"
"10","84dac7e946d6f9b9fdd07de66a00e21c5e27ac4a670038d5dfe407c1098341af",0.829883,4.11770695872,"MultiShell 113","QSIPrep"
"11","6019caaef954ffc7224d5988224a01742246b4abfe43903058c78a75f9e0dd60",0.830326,4.27210682621,"MultiShell 113","QSIPrep"
"12","f8a8ff17d589ef24d3ab75141fb75bf8c53be3fb82ed8583cf2df9fad1d6e726",0.838248,4.06021935988,"MultiShell 113","QSIPrep"
"13","1a2962f450960465512ba213e7a2eeafe2c339dc1db1f5353c0817aa7c5f4f28",0.859273,3.72576959574,"MultiShell 113","QSIPrep"
"14","bf88d0ee2901835c6ff81db575c6f5d1b4ce7946c78030943f51957f35310711",0.848673,3.77290637956,"MultiShell 113","QSIPrep"
